                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1586,                 1.3818,                 1.6357,                 0.6556,                0.95831,                0.77416,                0.65498,                0.76168,                0.88449,                 1.2468,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.1365,                 1.4106,                  1.616,                0.62392,                0.97368,                0.70623,                0.62623,                0.62117,                 0.8528,                 1.1385,             0.00060303,             0.00060303,             0.00060303
                     36,                 1.1104,                 1.3532,                  1.586,                0.61919,                      1,                0.73252,                0.64579,                0.67281,                0.84361,                 1.1695,             0.00059403,             0.00059403,             0.00059403
                     37,                  1.095,                 1.3043,                  1.577,                0.64976,                0.97624,                0.76072,                0.68184,                0.64605,                0.84068,                 1.1437,             0.00058503,             0.00058503,             0.00058503
                     38,                 1.1047,                 1.3483,                 1.5927,                0.63053,                 0.9977,                0.71319,                0.63349,                0.60792,                0.80303,                 1.0927,             0.00057603,             0.00057603,             0.00057603
                     39,                 1.1049,                  1.304,                 1.5986,                0.63331,                0.99123,                0.73311,                0.65385,                0.59033,                 0.7544,                 1.0889,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.0635,                 1.2856,                 1.5581,                0.64156,                0.99123,                0.71214,                0.63458,                0.61555,                0.74996,                 1.1058,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.0279,                 1.2368,                 1.5213,                0.65598,                0.99123,                0.72741,                0.64922,                0.60231,                0.86215,                 1.0904,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.0522,                 1.2687,                 1.5278,                0.63536,                0.99123,                0.71743,                 0.6595,                  0.549,                0.78392,                 1.0575,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.0312,                 1.2557,                 1.5209,                0.62033,                      1,                0.69122,                 0.6114,                0.58894,                0.76224,                 1.0739,             0.00053104,             0.00053104,             0.00053104
                     44,                 1.0473,                  1.235,                 1.5226,                0.64699,                0.99123,                0.74509,                0.65339,                0.60825,                 0.8038,                 1.0945,             0.00052204,             0.00052204,             0.00052204
                     45,                 1.0083,                 1.2027,                  1.501,                0.63886,                      1,                0.79912,                0.72619,                0.58725,                0.79827,                 1.0816,             0.00051304,             0.00051304,             0.00051304
                     46,                 1.0136,                 1.2132,                 1.5191,                0.65151,                      1,                0.77345,                0.69876,                0.60669,                0.81857,                 1.0761,             0.00050404,             0.00050404,             0.00050404
                     47,                 1.0065,                 1.1648,                 1.4775,                0.65029,                0.99825,                0.78494,                0.70173,                0.56959,                0.73695,                 1.0638,             0.00049504,             0.00049504,             0.00049504
                     48,                 1.0067,                  1.158,                 1.4909,                0.60028,                0.99728,                0.75599,                0.66748,                0.63529,                0.75511,                 1.0976,             0.00048604,             0.00048604,             0.00048604
                     49,                 1.0098,                 1.1675,                 1.4912,                0.61484,                0.99951,                0.70946,                0.62247,                0.60243,                 0.6793,                 1.1021,             0.00047704,             0.00047704,             0.00047704
                     50,                0.99393,                 1.1516,                 1.4907,                0.61373,                0.99123,                0.79639,                 0.6786,                0.61016,                0.71841,                  1.086,             0.00046804,             0.00046804,             0.00046804
                     51,                 1.0002,                 1.1277,                 1.4662,                0.61907,                      1,                0.78019,                  0.707,                0.59169,                0.70279,                 1.0526,             0.00045904,             0.00045904,             0.00045904
                     52,                0.99469,                  1.148,                 1.4703,                0.63022,                      1,                0.74441,                0.66843,                0.56622,                0.69617,                 1.0373,             0.00045005,             0.00045005,             0.00045005
                     53,                 0.9232,                 1.0692,                 1.4115,                0.61381,                      1,                0.76062,                0.69426,                0.55902,                0.69302,                 1.0509,             0.00044105,             0.00044105,             0.00044105
                     54,                0.93168,                 1.0784,                 1.4373,                0.65563,                 0.9975,                0.70673,                0.63364,                0.54141,                0.70294,                 1.0344,             0.00043205,             0.00043205,             0.00043205
                     55,                0.94296,                 1.0987,                 1.4502,                0.61418,                      1,                0.70081,                0.64008,                0.54508,                 0.6695,                 1.0301,             0.00042305,             0.00042305,             0.00042305
                     56,                0.94706,                 1.0988,                 1.4495,                 0.6328,                 0.9957,                0.76313,                0.69466,                0.52416,                0.66364,                 1.0425,             0.00041405,             0.00041405,             0.00041405
                     57,                0.90017,                 1.0621,                 1.4064,                0.62718,                      1,                0.68965,                0.63569,                0.52283,                0.68176,                 1.0034,             0.00040505,             0.00040505,             0.00040505
                     58,                0.93072,                 1.0546,                 1.4235,                0.61583,                      1,                 0.7468,                0.67764,                0.59245,                0.67565,                 1.0667,             0.00039605,             0.00039605,             0.00039605
                     59,                0.92791,                 1.0468,                 1.4088,                0.62902,                0.94444,                0.71338,                0.66289,                0.53312,                0.61135,                0.99638,             0.00038705,             0.00038705,             0.00038705
                     60,                0.91645,                 1.0389,                 1.3967,                0.62743,                0.98246,                0.77771,                 0.7258,                0.53025,                0.87722,                 1.0188,             0.00037805,             0.00037805,             0.00037805
                     61,                0.93386,                 1.0465,                 1.4059,                0.63687,                      1,                0.73181,                0.67391,                0.50592,                0.62887,                0.97603,             0.00036905,             0.00036905,             0.00036905
                     62,                 0.9285,                 1.0304,                  1.396,                0.62836,                      1,                0.70616,                0.64645,                 0.5332,                0.60936,                0.99993,             0.00036005,             0.00036005,             0.00036005
                     63,                 0.9132,                 1.0171,                 1.3868,                0.63936,                      1,                0.71302,                0.63332,                0.55397,                 0.6113,                 1.0182,             0.00035106,             0.00035106,             0.00035106
                     64,                0.90328,                0.97971,                 1.3693,                0.61096,                      1,                0.72239,                 0.6525,                0.49356,                0.59063,                0.97123,             0.00034206,             0.00034206,             0.00034206
                     65,                0.88428,                0.99589,                 1.3761,                0.64364,                      1,                0.73599,                0.67527,                0.47688,                0.59703,                0.96782,             0.00033306,             0.00033306,             0.00033306
                     66,                0.86474,                0.97286,                 1.3455,                0.63969,                      1,                0.75382,                0.68827,                 0.5002,                  0.654,                 0.9856,             0.00032406,             0.00032406,             0.00032406
                     67,                0.90446,                 1.0185,                 1.3951,                0.62385,                      1,                0.70181,                0.64497,                0.48652,                0.60208,                0.99014,             0.00031506,             0.00031506,             0.00031506
                     68,                0.86046,                 0.9357,                 1.3478,                0.61227,                      1,                0.73077,                0.68018,                0.48105,                0.58813,                0.98834,             0.00030606,             0.00030606,             0.00030606
                     69,                0.89071,                 0.9994,                 1.3943,                0.63805,                0.98485,                0.70673,                0.63348,                0.48574,                0.59083,                0.97171,             0.00029706,             0.00029706,             0.00029706
                     70,                0.87283,                0.97323,                 1.3519,                0.62321,                      1,                 0.6983,                0.65614,                0.47643,                0.56615,                0.96263,             0.00028806,             0.00028806,             0.00028806
                     71,                0.85343,                0.92442,                 1.3381,                0.61806,                      1,                0.73483,                0.68382,                0.49696,                0.61912,                0.97891,             0.00027906,             0.00027906,             0.00027906
                     72,                 0.8225,                0.90837,                  1.304,                0.60768,                      1,                0.68185,                0.62038,                0.48689,                0.59363,                0.97236,             0.00027006,             0.00027006,             0.00027006
                     73,                0.83315,                0.91641,                  1.336,                0.61398,                      1,                0.70795,                0.66277,                0.47369,                0.60186,                0.96906,             0.00026106,             0.00026106,             0.00026106
                     74,                0.86519,                0.92147,                 1.3356,                0.60744,                      1,                0.66195,                0.60793,                0.46983,                0.59655,                0.96242,             0.00025207,             0.00025207,             0.00025207
                     75,                0.81553,                0.88488,                 1.3081,                 0.6097,                      1,                0.71379,                0.65557,                0.46193,                0.57719,                0.93797,             0.00024307,             0.00024307,             0.00024307
                     76,                 0.8318,                0.91226,                 1.3309,                0.61348,                      1,                0.73812,                0.68202,                0.44216,                0.54935,                0.93878,             0.00023407,             0.00023407,             0.00023407
                     77,                 0.8263,                0.91221,                 1.3139,                0.62281,                      1,                0.71167,                0.66366,                0.46155,                0.55455,                0.94781,             0.00022507,             0.00022507,             0.00022507
                     78,                0.83218,                0.90801,                 1.3212,                0.60895,                      1,                0.72822,                 0.6646,                0.46437,                0.59538,                0.94292,             0.00021607,             0.00021607,             0.00021607
                     79,                0.81981,                0.89084,                 1.3123,                0.62691,                0.94444,                0.68255,                0.62726,                0.46048,                0.57035,                0.93738,             0.00020707,             0.00020707,             0.00020707
                     80,                0.81002,                0.90772,                 1.3197,                0.61433,                      1,                 0.7012,                0.64647,                 0.4368,                0.59143,                0.94186,             0.00019807,             0.00019807,             0.00019807
                     81,                0.77662,                0.87068,                 1.2727,                0.62207,                      1,                0.76267,                0.70127,                0.43856,                0.50116,                0.92646,             0.00018907,             0.00018907,             0.00018907
                     82,                0.81137,                0.85804,                 1.3061,                0.61444,                      1,                 0.6942,                0.65175,                0.41239,                0.59045,                0.92495,             0.00018007,             0.00018007,             0.00018007
                     83,                0.80383,                0.84479,                  1.312,                0.61071,                0.96254,                 0.7149,                0.66231,                0.45757,                0.53304,                0.94177,             0.00017107,             0.00017107,             0.00017107
                     84,                0.77802,                0.82696,                 1.2793,                0.60844,                      1,                0.72597,                0.68175,                0.44536,                0.57752,                0.93078,             0.00016207,             0.00016207,             0.00016207
                     85,                0.75569,                0.82634,                 1.2712,                0.60791,                0.99731,                0.70744,                0.65612,                0.44958,                0.52843,                0.92456,             0.00015308,             0.00015308,             0.00015308
                     86,                0.81026,                0.87359,                 1.3053,                0.62037,                      1,                0.76571,                0.71619,                0.43794,                0.54242,                0.93052,             0.00014408,             0.00014408,             0.00014408
                     87,                0.78756,                0.84048,                  1.288,                0.61086,                      1,                0.69693,                 0.6494,                0.43558,                0.53069,                 0.9167,             0.00013508,             0.00013508,             0.00013508
                     88,                0.78311,                0.83031,                 1.2805,                0.60388,                0.95327,                0.71603,                0.67463,                0.41188,                0.49234,                0.90756,             0.00012608,             0.00012608,             0.00012608
                     89,                0.75091,                0.80199,                 1.2544,                0.62062,                      1,                0.70337,                 0.6561,                0.41453,                0.49802,                0.90932,             0.00011708,             0.00011708,             0.00011708
                     90,                0.62738,                0.73455,                 1.1383,                0.62836,                      1,                 0.7153,                0.65739,                0.42798,                 0.5763,                0.91285,             0.00010808,             0.00010808,             0.00010808
                     91,                0.60005,                0.65401,                 1.1313,                0.65339,                      1,                0.72643,                0.68174,                0.41015,                0.52043,                 0.9105,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 0.6028,                0.63762,                 1.1303,                0.63536,                      1,                0.74881,                0.70527,                0.40972,                0.52043,                0.91139,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.61444,                0.65265,                 1.1263,                0.63378,                 0.9757,                0.77983,                0.73004,                0.41876,                0.52861,                0.92151,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 0.5908,                0.63954,                 1.1089,                0.64253,                0.94444,                 0.7258,                 0.6745,                 0.4288,                 0.5112,                0.91643,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.59017,                0.61489,                 1.0983,                0.61854,                      1,                0.74927,                 0.7014,                0.44442,                0.55634,                0.92534,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.59308,                0.61887,                 1.1008,                0.61588,                 0.9697,                0.73914,                0.68923,                0.42023,                0.52258,                0.90841,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.58592,                0.62279,                 1.0995,                0.64026,                 0.9697,                0.72358,                0.67997,                0.39397,                0.48827,                0.89677,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.56272,                0.60529,                 1.0908,                0.61865,                      1,                0.75966,                0.70936,                0.40713,                0.51773,                0.90364,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.58016,                 0.6061,                 1.0994,                0.61051,                0.97371,                0.74488,                 0.6996,                0.41019,                0.50971,                0.90831,             2.7088e-05,             2.7088e-05,             2.7088e-05
